                                       ,                    Date                  ,                    Versus                  ,                    Ground                  ,                    D/N*                  ,                    How Dismissed                  ,                    Runs                  ,                    B/F                  ,                    S/R                  ,                    Aggr                  ,                    Avg                  ,                Cumulative    S/R                  
128,22/05/2015,                    Royal Challengers Bangalore                  ,                    JSCA International Stadium Complex                  ,                    &check;                  ,                    c †K D Karthik b H V Patel                  ,26,29,89.66,2969,39.59,139.32
129,24/05/2015,                    Mumbai Indians                  ,                    Eden Gardens                  ,                    &check;                  ,                    b S L Malinga                  ,18,13,138.46,2987,39.3,139.32
130,9/4/2016,                    Mumbai Indians                  ,                    Wankhede Stadium                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,2987,39.3,139.32
131,14/04/2016,                    Gujarat Lions                  ,                    Saurashtra Cricket Association Stadium                  ,                    &check;                  ,                    not out                  ,                    22*                  ,10,220,3009,39.59,139.69
132,17/04/2016,                    Kings XI Punjab                  ,                    Punjab Cricket Association IS Bindra Stadium                  ,                    &check;                  ,                    c G J Maxwell b M M Sharma                  ,1,2,50,3010,39.09,139.61
133,22/04/2016,                    Royal Challengers Bangalore                  ,                    Maharashtra Cricket Association Stadium                  ,                    &check;                  ,                    c A B de Villiers b H V Patel                  ,41,38,107.89,3051,39.12,139.06
134,24/04/2016,                    Kolkata Knight Riders                  ,                    Maharashtra Cricket Association Stadium                  ,,                    not out                  ,                    23*                  ,12,191.67,3074,39.41,139.35
135,26/04/2016,                    Sunrisers Hyderabad                  ,                    Rajiv Gandhi International Stadium                  ,                    &check;                  ,                    c A P Tare b A Nehra                  ,5,4,125,3079,38.97,139.32
136,29/04/2016,                    Gujarat Lions                  ,                    Maharashtra Cricket Association Stadium                  ,                    &check;                  ,                    not out                  ,                    30*                  ,18,166.67,3109,39.35,139.54
137,1/5/2016,                    Mumbai Indians                  ,                    Maharashtra Cricket Association Stadium                  ,                    &check;                  ,                    c A T Rayudu b J J Bumrah                  ,24,24,100,3133,39.16,139.12
138,5/5/2016,                    Delhi Capitals                  ,                    Arun Jaitley Stadium                  ,                    &check;                  ,                    c S W Billings b Imran Tahir                  ,27,20,135,3160,39.01,139.08
139,7/5/2016,                    Royal Challengers Bangalore                  ,                    M Chinnaswamy Stadium                  ,                    &check;                  ,                    c Parvez Rasool b S R Watson                  ,9,8,112.5,3169,38.65,138.99
140,10/5/2016,                    Sunrisers Hyderabad                  ,                    Dr YS Rajasekhara Reddy Cricket Stadium                  ,                    &check;                  ,                    run out                  ,30,20,150,3199,38.54,139.09
141,14/05/2016,                    Kolkata Knight Riders                  ,                    Eden Gardens                  ,                    &check;                  ,                    not out                  ,                    8*                  ,22,36.36,3207,38.64,138.11
142,17/05/2016,                    Delhi Capitals                  ,                    Dr YS Rajasekhara Reddy Cricket Stadium                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,3207,38.64,138.11
